station_code,name,long,lat
1402,쌍용,127.1214054,36.79377301
1403,아산,127.1040976,36.79212465
1405,배방,127.0526588,36.77770089
1407,온양온천,127.0032312,36.78059125
1408,신창,126.95103,36.7695699
1450,선바위,127.0020375,37.45196662
1451,경마공원,127.0079414,37.44391518
1452,대공원,127.0065369,37.43572571
1453,과천,126.9968321,37.433158
1454,정부과천청사,126.9898087,37.42621135
1455,인덕원,126.976668,37.40196969
1456,평촌,126.9636372,37.39420286
1457,범계,126.9506863,37.38975215
1501,판교,127.1111589,37.39459787
1502,이매,127.1282906,37.39606412
1503,삼동,127.2034644,37.40876236
1504,경기광주,127.2536203,37.39879641
1505,초월,127.2999023,37.37336413
1506,곤지암,127.3466653,37.35018132
1507,신둔도예촌,127.4051016,37.31600935
1508,이천,127.4423586,37.26426307
1509,부발,127.4893799,37.26044071
1510,세종대왕릉,127.5704416,37.29354422
1511,여주,127.628499,37.28314656
1701,구로,126.8812062,37.50260352
1702,가산디지털단지,126.8826305,37.48155279
1703,금천구청,126.8937399,37.45587457
1704,석수,126.9024326,37.43473228
1705,관악,126.908664,37.41934749
1706,안양,126.9227117,37.40169843
1707,명학,126.9354911,37.38488168
1708,금정,126.9433541,37.37265759
1709,군포,126.9485054,37.35346173
1710,의왕,126.9480457,37.32134672
1711,성균관대,126.9725202,37.30018815
1712,화서,126.989616,37.283971
1713,수원,126.9994944,37.26669114
1714,독산,126.889247,37.46649028
1715,세류,127.01379,37.24385284
1716,병점,127.0330456,37.20676135
1717,세마,127.0428711,37.18806406
1718,오산대,127.0631206,37.16911557
1719,오산,127.0666393,37.14492247
1720,진위,127.0623558,37.11028056
1721,송탄,127.0545604,37.07519779
1722,서정리,127.0528347,37.05634303
1723,지제,127.070676,37.01859567
1724,평택,127.0854725,36.99069673
1725,성환,127.1269441,36.91585762
1726,직산,127.1440094,36.87065952
1727,두정,127.1491171,36.83283217
1728,천안,127.1466241,36.81124081
1729,당정,126.9483458,37.34431326
1749,서동탄,127.0516359,37.19576886
1750,광명,126.8847327,37.41636547
1751,산본,126.9331168,37.358075
1752,대야미,126.9167334,37.32787108
1753,반월,126.9037349,37.31277731
1754,상록수,126.8664511,37.30286479
1755,한대앞,126.8536268,37.30988055
1756,중앙,126.838636,37.31613979
1757,고잔,126.8225275,37.31690212
1758,초지,126.8078217,37.31970357
1759,안산,126.7886278,37.32711157
1760,신길온천,126.7669625,37.33768193
1761,정왕,126.7432644,37.35178148
1762,오이도,126.738473,37.36183854
1763,수리산,126.9254234,37.35015651
1801,개봉,126.8586083,37.49469917
1802,오류동,126.8434686,37.4941432
1803,역곡,126.8118214,37.48526961
1804,부천,126.7826764,37.48400462
1805,송내,126.753115,37.48772266
1806,부평,126.7234468,37.49039297
1807,백운,126.7069256,37.48299685
1808,동암,126.7029097,37.47123045
1809,주안,126.6790555,37.46527156
1810,제물포,126.6569954,37.46681033
1811,동인천,126.6319072,37.47602583
1812,인천,126.6173932,37.47645
1813,구일,126.869817,37.4962428
1814,소사,126.7955536,37.48281328
1815,부개,126.7406224,37.48855944
1816,간석,126.6934228,37.46469067
1817,도원,126.6426772,37.46851543
1821,온수,126.8239001,37.4924299
1822,중동,126.7645378,37.48672238
1823,도화,126.6681409,37.46616039
1846,수원,127.0003085,37.2663273
1847,서울숲,127.0446817,37.54360234
1848,압구정로데오,127.0405585,37.52734328
1849,강남구청,127.0409837,37.51713591
1850,선정릉,127.0436019,37.51096732
1851,가천대,127.1267067,37.44808692
1852,태평,127.1278034,37.43975786
1853,모란,127.1290849,37.43226227
1854,야탑,127.1286853,37.41180405
1855,서현,127.1234682,37.38504475
1856,수내,127.1142166,37.37845787
1857,정자,127.1081214,37.36618998
1858,미금,127.1087829,37.35000639
1859,오리,127.1089654,37.33986219
1860,이매,127.1272884,37.39470521
1861,보정,127.1082015,37.3127878
1862,죽전,127.1075666,37.32470324
1863,구성,127.1055781,37.29899451
1864,신갈,127.1113293,37.28614008
1865,기흥,127.1159593,37.27512512
1866,상갈,127.1087703,37.26180709
1867,청명,127.0789576,37.25947827
1868,영통,127.0712717,37.25144814
1869,망포,127.057364,37.24581469
1870,매탄권선,127.0404908,37.25291965
1871,수원시청,127.0307392,37.26194424
1872,매교,127.0156873,37.2655102
1878,달월,126.7452914,37.38013514
1879,월곶,126.7430724,37.39144029
1880,소래포구,126.7335332,37.40098432
1881,인천논현,126.7225209,37.40066774
1882,호구포,126.7086742,37.40164829
1883,남동인더스파크,126.694777,37.407919
1884,원인재,126.686425,37.41324294
1885,연수,126.6789625,37.41784545
1886,송도,126.6547881,37.42980916
1888,인하대,126.6495715,37.44857906
1889,숭의,126.638218,37.460744
1890,신포,126.62467,37.46836255
1891,인천,126.6167868,37.47610917
1901,방학,127.0443724,37.66751996
1902,도봉,127.0456007,37.67941052
1903,도봉산,127.046039,37.68944674
1904,망월사,127.0473601,37.71027482
1905,회룡,127.047301,37.72371285
1906,의정부,127.0462234,37.73840513
1907,가능,127.0440144,37.74945746
1908,녹양,127.0420522,37.75924913
1909,양주,127.0446058,37.77279292
1910,덕계,127.0564142,37.81796615
1911,덕정,127.0616542,37.84367434
1912,지행,127.0558218,37.89258256
1913,동두천중앙,127.0565418,37.90217837
1914,보산,127.0571727,37.9145749
1915,동두천,127.0548996,37.92762561
1916,소요산,127.0610759,37.94868377
1948,원흥,126.8737417,37.65013222
1950,삼송,126.8954872,37.6530502
1951,원당,126.8427073,37.65216187
1952,화정,126.8327185,37.63459902
1953,대곡,126.8096745,37.6322438
1954,백석,126.7879962,37.64306017
1955,마두,126.7778309,37.65190869
1956,정발산,126.7733035,37.6597174
1957,주엽,126.7614191,37.67009236
1958,대화,126.7480279,37.67595634
2511,방화,126.8127735,37.57773823
2512,개화산,126.8060978,37.5725053
2513,김포공항,126.8013005,37.56242848
2514,송정,126.8128748,37.5611232
